Name,Long,Lat,Rating,Type
SWEAT OUT ladies fitness studio,19.40815061,72.83586966,4.9,Gym
Angel Fitness Centre Unisex Gym,19.43721016,72.85755054,4.9,Gym
St. Mary English School,19.37058957,72.81803903,5,School
Vasai School,19.33729081,72.80417498,5,School
CSM ENGLISH HIGH SCHOOL,19.40899056,72.83300508,5,School
Imperial Public School Vasai,19.40488696,72.87227182,5,School
John Bosco High School,19.39191832,72.83973425,5,School
VASAI VIRAR CITY MUNICIPAL CORPN - PAY YOUR PROPERTY TAX,19.40097138,72.84339419,5,Gov
Deputy Commisnor of Customs Office Vasai,19.32978002,72.81913566,5,Gov
WALTZ Fitness Gym,19.39031827,72.8256977,5,Gym
Doctor Tushar Fitness,19.35937205,72.81239473,5,Gym
Earth Fitness - Vasai West,19.38663114,72.82640646,5,Gym
Fitness Revolution - The Gym,19.39913759,72.84033748,5,Gym
Musclemaker Ac Gym,19.3822333,72.832834,5,Gym
Golden Gladiator fitness club,19.40287601,72.8454782,4.7,Gym
KJs Fitness & NutriDiet,19.36241003,72.86345471,4.9,Gym
